batch,score,loss,loss_v
334,-48,-6.661583,545.34845
335,-42,-8.696766,519.3154
336,-50,-6.9454546,544.62134
337,-50,-7.7276225,546.6853
338,-30,-6.7451234,419.18903
339,-36,-4.413484,477.8721
340,-38,-4.8336396,298.59753
341,-50,-8.112339,544.1613
342,-48,-6.214754,484.0271
343,-38,-4.939011,285.4167
344,-50,-6.2715316,543.8368
345,-40,-5.8765974,507.72583
346,-50,-10.722678,543.8189
347,-40,-4.3005047,507.10602
348,-32,-8.234084,437.5643
349,-50,-5.622456,544.0373
350,-46,-6.8842936,537.53955
351,-32,-6.693783,183.24744
352,-50,-7.9145103,543.5463
353,-50,-10.38737,543.15533
354,-30,-3.1547437,143.00333
355,-50,-7.2464657,543.29816
356,-42,-8.629442,358.3664
357,-40,-4.816903,329.04648
358,-32,-2.4707105,163.19043
359,-30,-1.4607999,150.48889
360,-44,-4.1377287,406.72693
361,-42,-8.438148,516.98883
362,-22,-2.765882,78.41265
363,-44,-7.915334,375.208
364,-18,-1.6509408,47.51073
365,-48,-8.662703,491.52472
366,-38,-4.6820927,290.72968
367,-48,-7.724569,541.089
368,-50,-10.419563,542.45905
369,-44,-5.5018373,404.87985
370,-34,-3.4487274,207.71707
371,-50,-9.160217,542.0398
372,-50,-9.949094,542.11115
373,-50,-9.148819,542.3656
374,-34,-7.105518,456.00723
375,-50,-12.840897,541.8377
376,-50,-12.907914,541.8463
377,-50,-10.854683,541.2344
378,-50,-9.344996,541.61017
379,-44,-7.453146,526.03107
380,-32,-4.7795553,164.19797
381,-50,-9.552611,541.3884
382,-44,-9.802262,525.3264
383,-36,-7.525655,472.2955
384,-32,-3.3614137,171.2017
385,-44,-4.859952,526.54236
386,-40,-6.4016485,327.16425
387,-36,-6.4185963,472.86868
388,-50,-8.575239,540.8318
389,-42,-9.66421,515.4802
390,-24,-3.5203738,95.9305
391,-30,-1.38042,149.54842
392,-50,-7.5069776,540.7064
393,-50,-9.443506,540.5037
394,-24,-6.499061,355.35657
395,-44,-5.0202365,374.17102
396,-36,-2.8781981,252.86166
397,-50,-6.852616,540.0043
398,-50,-8.0945015,540.13257
399,-50,-10.600501,539.2361
400,-50,-6.330392,539.72784
401,-50,-9.79505,539.78784
402,-34,-7.772353,453.21106
403,-50,-6.913661,539.54865
404,-50,-10.047194,539.3391
405,-38,-5.8619766,487.50156
406,-50,-7.8794007,539.2473
407,-50,-9.601827,539.34235
408,-32,-3.0484943,194.7625
409,-50,-8.22181,538.9265
410,-50,-6.026359,538.6502
411,-44,-4.982201,524.0953
412,-50,-7.4525375,538.62994
413,-44,-6.256007,524.36584
414,-44,-7.3253617,373.2464
415,-44,-8.550399,523.7188
416,-50,-7.033021,538.3455
417,-50,-9.630435,538.5622
418,-30,-2.9320636,148.58759
419,-50,-10.427463,538.5068
420,-50,-7.871227,538.3987
421,-50,-10.496992,538.19714
422,-42,-6.214343,359.87012
423,-44,-8.305681,521.5676
424,-40,-4.370817,325.15292
425,-44,-4.6163955,398.79327
426,-50,-11.139279,537.59143
427,-2,2.62718,93.04569
428,-38,-3.7430284,486.27966
429,-30,-5.7318697,414.28064
430,-50,-8.2346325,537.5066
431,-30,-2.4331448,148.13597
432,-50,-10.431508,537.55426
433,-50,-12.035394,537.2612
434,-50,-11.071711,537.377
435,-50,-8.434247,536.63916
436,-46,-6.7590775,444.68985
437,-42,-5.922149,358.24316
438,-46,-6.267171,447.24316
439,-28,-1.2323802,130.12018
440,-50,-9.263211,536.8027
441,-50,-6.5896335,536.611
442,-36,-5.261231,209.05614
443,-44,-8.977093,521.7107
444,-50,-8.45725,536.8339
445,-28,-3.1610358,138.35304
446,-40,-4.272208,281.7134
447,-46,-3.7920544,529.11115
448,-46,-4.975367,529.1953
449,-34,-6.231764,224.10472
450,-42,-7.430182,510.67816
451,-40,-6.6497345,392.97443
452,-42,-5.3386226,362.80264
453,-50,-7.045928,535.9643
454,-24,-8.509327,352.12198
455,-44,-7.0703025,520.33044
456,-24,-3.6771517,94.51365
457,-38,-5.286157,483.60266
458,-50,-6.581417,535.33
459,-50,-11.5179615,535.4223
460,-50,-10.122072,535.31085
461,-32,-7.4945087,431.91214
462,-50,-9.557458,535.3168
463,-30,-5.841372,411.8504
464,-50,-9.342095,535.1605
465,-50,-9.985414,535.1247
466,-34,-7.171535,373.89603
467,-50,-6.5146003,534.14636
468,-50,-9.710495,534.3231
